# date,tavg,tmin,tmax,prcp,,
2019,1,1,15.6,NaN,NaN,NaN
2019,1,2,14.9,NaN,NaN,NaN
2019,1,3,13.9,NaN,NaN,NaN
2019,1,4,15.5,NaN,NaN,NaN
2019,1,5,17.1,NaN,NaN,NaN
2019,1,6,17.8,NaN,NaN,NaN
2019,1,7,17.6,NaN,NaN,NaN
2019,1,8,14.6,NaN,NaN,NaN
2019,1,9,15.6,3,25.8,0
2019,1,10,13.9,NaN,NaN,NaN
2019,1,11,10.3,NaN,NaN,NaN
2019,1,12,15.6,5.4,23.8,0
2019,1,13,15.3,9.2,23.8,2.8
2019,1,14,15,NaN,NaN,NaN
2019,1,15,14.2,NaN,NaN,NaN
2019,1,16,15.7,4.4,21.6,0
2019,1,17,14.8,NaN,NaN,NaN
2019,1,18,15.2,NaN,NaN,NaN
2019,1,19,15.7,NaN,NaN,NaN
2019,1,20,15.6,NaN,NaN,NaN
2019,1,21,15.1,0.8,24,0
2019,1,22,14.1,NaN,NaN,NaN
2019,1,23,14.3,0.8,24.4,0
2019,1,24,16.3,NaN,NaN,NaN
2019,1,25,17,NaN,NaN,NaN
2019,1,26,14.9,NaN,NaN,NaN
2019,1,27,15.9,NaN,NaN,NaN
2019,1,28,13.9,NaN,NaN,NaN
2019,1,29,16.1,NaN,NaN,NaN
2019,1,30,13.6,NaN,NaN,NaN
2019,1,31,13.8,NaN,NaN,NaN
2019,2,1,13.7,NaN,NaN,NaN
2019,2,2,16.3,NaN,NaN,NaN
2019,2,3,17,NaN,NaN,NaN
2019,2,4,17.7,NaN,NaN,NaN
2019,2,5,18.6,NaN,NaN,NaN
2019,2,6,18.8,NaN,NaN,NaN
2019,2,7,19.7,NaN,NaN,NaN
2019,2,8,17.8,NaN,NaN,NaN
2019,2,9,14.8,NaN,NaN,NaN
2019,2,10,15.3,NaN,NaN,NaN
2019,2,11,16.9,NaN,NaN,NaN
2019,2,12,17.1,7.2,26.9,NaN
2019,2,13,14.8,NaN,NaN,NaN
2019,2,14,17,NaN,NaN,NaN
2019,2,15,19.5,8.6,26,0
2019,2,16,20.3,NaN,NaN,NaN
2019,2,17,20.4,NaN,NaN,NaN
2019,2,18,20.1,NaN,NaN,NaN
2019,2,19,19.6,NaN,NaN,NaN
2019,2,20,18.1,NaN,NaN,NaN
2019,2,21,17.7,NaN,NaN,NaN
2019,2,22,19,NaN,NaN,NaN
2019,2,23,19.8,7.6,29,NaN
2019,2,24,17.7,8.2,25.6,NaN
2019,2,25,16.7,NaN,NaN,NaN
2019,2,26,19.3,NaN,NaN,NaN
2019,2,27,20.1,NaN,NaN,NaN
2019,2,28,19.4,NaN,NaN,NaN
2019,3,1,18.6,7.4,28.6,0
2019,3,2,20.4,NaN,NaN,NaN
2019,3,3,21.6,NaN,NaN,NaN
2019,3,4,20,8.6,30.4,0
2019,3,5,20.3,NaN,NaN,NaN
2019,3,6,17.2,NaN,NaN,NaN
2019,3,7,20,NaN,NaN,NaN
2019,3,8,19.9,NaN,NaN,NaN
2019,3,9,21.7,NaN,NaN,NaN
2019,3,10,21.5,NaN,NaN,NaN
2019,3,11,22.1,NaN,NaN,NaN
2019,3,12,20.1,NaN,NaN,NaN
2019,3,13,22.5,NaN,NaN,NaN
2019,3,14,20.8,NaN,NaN,NaN
2019,3,15,20.1,NaN,NaN,NaN
2019,3,16,18.6,NaN,NaN,NaN
2019,3,17,18.7,NaN,NaN,NaN
2019,3,18,18.2,NaN,NaN,NaN
2019,3,19,17.6,NaN,NaN,NaN
2019,3,20,17.9,NaN,NaN,NaN
2019,3,21,17.4,NaN,NaN,NaN
2019,3,22,17.8,NaN,NaN,NaN
2019,3,23,17.4,NaN,NaN,NaN
2019,3,24,19.2,NaN,NaN,NaN
2019,3,25,20.8,NaN,NaN,NaN
2019,3,26,19.4,NaN,NaN,NaN
2019,3,27,19.1,NaN,NaN,NaN
2019,3,28,18.9,NaN,NaN,NaN
2019,3,29,19.3,5.4,28.8,0
2019,3,30,20.9,7.6,28.4,0
2019,3,31,21.4,NaN,NaN,NaN
2019,4,1,18.7,8.8,29,0
2019,4,2,20.4,8.8,27.8,0
2019,4,3,19.6,NaN,NaN,NaN
2019,4,4,19.2,NaN,NaN,NaN
2019,4,5,19.9,NaN,NaN,NaN
2019,4,6,19.3,NaN,NaN,NaN
2019,4,7,20.6,NaN,NaN,NaN
2019,4,8,19.5,NaN,NaN,NaN
2019,4,9,18,NaN,NaN,NaN
2019,4,10,19.2,NaN,NaN,NaN
2019,4,11,20.3,7.8,29,0
2019,4,12,19.8,NaN,NaN,NaN
2019,4,13,19.6,NaN,NaN,NaN
2019,4,14,20.5,NaN,NaN,NaN
2019,4,15,20.1,NaN,NaN,NaN
2019,4,16,21.2,NaN,NaN,NaN
2019,4,17,22,NaN,NaN,NaN
2019,4,18,21.9,NaN,NaN,NaN
2019,4,19,18.8,NaN,NaN,NaN
2019,4,20,19.6,NaN,NaN,NaN
2019,4,21,21.6,NaN,NaN,NaN
2019,4,22,22.2,NaN,NaN,NaN
2019,4,23,22,9.8,31.4,0
2019,4,24,22.1,10.2,31.4,0
2019,4,25,21.6,NaN,NaN,NaN
2019,4,26,20.7,NaN,NaN,NaN
2019,4,27,19.3,NaN,NaN,NaN
2019,4,28,21.1,NaN,NaN,NaN
2019,4,29,21.8,12,29.4,0
2019,4,30,20.6,NaN,NaN,NaN
2019,5,1,20.7,NaN,NaN,NaN
2019,5,2,21.6,11.8,31.2,0
2019,5,3,20.4,NaN,NaN,NaN
2019,5,4,21.6,NaN,NaN,NaN
2019,5,5,21.6,NaN,NaN,NaN
2019,5,6,20.9,NaN,NaN,NaN
2019,5,7,21.9,NaN,NaN,NaN
2019,5,8,23.2,NaN,NaN,NaN
2019,5,9,23,NaN,NaN,NaN
2019,5,10,22.3,NaN,NaN,NaN
2019,5,11,23,NaN,NaN,NaN
2019,5,12,21.7,NaN,NaN,NaN
2019,5,13,22.4,12.4,30.2,0
2019,5,14,21.9,NaN,NaN,NaN
2019,5,15,22.4,NaN,NaN,NaN
2019,5,16,19.3,NaN,NaN,NaN
2019,5,17,18.3,NaN,NaN,NaN
2019,5,18,19.6,NaN,NaN,NaN
2019,5,19,21.8,NaN,NaN,NaN
2019,5,20,22.8,NaN,NaN,NaN
2019,5,21,22.8,NaN,NaN,NaN
2019,5,22,21.7,NaN,NaN,NaN
2019,5,23,23.5,NaN,NaN,NaN
2019,5,24,20.5,NaN,NaN,NaN
2019,5,25,22.6,NaN,NaN,NaN
2019,5,26,22.7,NaN,NaN,NaN
2019,5,27,21.6,NaN,NaN,NaN
2019,5,28,20.9,NaN,NaN,NaN
2019,5,29,20.6,NaN,NaN,NaN
2019,5,30,20.9,NaN,NaN,NaN
2019,5,31,19.2,NaN,NaN,NaN
2019,6,1,20.1,NaN,NaN,NaN
2019,6,2,20.8,NaN,NaN,NaN
2019,6,3,17.9,NaN,NaN,NaN
2019,6,4,17.3,NaN,NaN,NaN
2019,6,5,16.7,NaN,NaN,NaN
2019,6,6,18.4,NaN,NaN,NaN
2019,6,7,19,NaN,NaN,NaN
2019,6,8,21,NaN,NaN,NaN
2019,6,9,22.4,NaN,NaN,NaN
2019,6,10,22.2,NaN,NaN,NaN
2019,6,11,20.6,NaN,NaN,NaN
2019,6,12,20.2,NaN,NaN,NaN
2019,6,13,18.3,NaN,NaN,NaN
2019,6,14,17.9,12.8,24.2,0
2019,6,15,19.7,NaN,NaN,NaN
2019,6,16,19.1,NaN,NaN,NaN
2019,6,17,20.4,NaN,NaN,NaN
2019,6,18,19.4,NaN,NaN,NaN
2019,6,19,20,12.6,27.6,17.8
2019,6,20,20.6,NaN,NaN,NaN
2019,6,21,21.1,12.8,25.2,NaN
2019,6,22,20.8,12.8,28,4.8
2019,6,23,20.7,NaN,NaN,NaN
2019,6,24,18.2,NaN,NaN,NaN
2019,6,25,20.3,NaN,NaN,NaN
2019,6,26,17.5,NaN,NaN,NaN
2019,6,27,18.4,12.6,24.8,0
2019,6,28,19.6,10.2,25,0
2019,6,29,18.5,11,26,0.5
2019,6,30,18.2,10.8,22.6,0
2019,7,1,16.8,NaN,NaN,NaN
2019,7,2,17.8,NaN,NaN,NaN
2019,7,3,17.4,11.2,25.2,22.6
2019,7,4,18.9,NaN,NaN,NaN
2019,7,5,20.4,10.8,27,0.3
2019,7,6,20.4,NaN,NaN,NaN
2019,7,7,19.7,NaN,NaN,NaN
2019,7,8,19.2,10.4,26.6,0
2019,7,9,18.7,NaN,NaN,NaN
2019,7,10,19.1,10.6,27.4,0
2019,7,11,18.6,NaN,NaN,NaN
2019,7,12,18.8,NaN,NaN,NaN
2019,7,13,19.3,NaN,NaN,NaN
2019,7,14,19.2,NaN,NaN,NaN
2019,7,15,19.9,NaN,NaN,NaN
2019,7,16,18.8,NaN,NaN,NaN
2019,7,17,16.3,NaN,NaN,NaN
2019,7,18,18.1,NaN,NaN,NaN
2019,7,19,18.3,NaN,NaN,NaN
2019,7,20,19.1,NaN,NaN,NaN
2019,7,21,18.6,12.8,25.6,0
2019,7,22,16.8,NaN,NaN,NaN
2019,7,23,18.7,12,23.4,NaN
2019,7,24,16.3,NaN,NaN,NaN
2019,7,25,15.9,NaN,NaN,NaN
2019,7,26,17.4,NaN,NaN,NaN
2019,7,27,17.9,NaN,NaN,NaN
2019,7,28,18.3,NaN,NaN,NaN
2019,7,29,18.2,NaN,NaN,NaN
2019,7,30,17.7,NaN,NaN,NaN
2019,7,31,19.5,NaN,NaN,NaN
2019,8,1,19.9,NaN,NaN,NaN
2019,8,2,19.8,NaN,NaN,NaN
2019,8,3,19.3,NaN,NaN,NaN
2019,8,4,20.4,11.4,27,3.3
2019,8,5,18,NaN,NaN,NaN
2019,8,6,16.7,NaN,NaN,NaN
2019,8,7,17.7,NaN,NaN,NaN
2019,8,8,20,NaN,NaN,NaN
2019,8,9,19.4,NaN,NaN,NaN
2019,8,10,19.8,NaN,NaN,NaN
2019,8,11,19,NaN,NaN,NaN
2019,8,12,17.1,NaN,NaN,NaN
2019,8,13,19.4,NaN,NaN,NaN
2019,8,14,19.1,NaN,NaN,NaN
2019,8,15,20.7,11.8,26.2,0
2019,8,16,19.2,NaN,NaN,NaN
2019,8,17,20.6,NaN,NaN,NaN
2019,8,18,20.9,NaN,NaN,NaN
2019,8,19,19.6,NaN,NaN,NaN
2019,8,20,18.7,NaN,NaN,NaN
2019,8,21,17.6,NaN,NaN,NaN
2019,8,22,17.7,NaN,NaN,NaN
2019,8,23,18.1,NaN,NaN,NaN
2019,8,24,18.5,NaN,NaN,NaN
2019,8,25,19.7,NaN,NaN,NaN
2019,8,26,20.3,NaN,NaN,NaN
2019,8,27,18.4,NaN,NaN,NaN
2019,8,28,20.7,NaN,NaN,NaN
2019,8,29,19.1,NaN,NaN,NaN
2019,8,30,18,NaN,NaN,NaN
2019,8,31,20.3,NaN,NaN,NaN
2019,9,1,19.3,NaN,NaN,NaN
2019,9,2,19.9,NaN,NaN,NaN
2019,9,3,19.2,NaN,NaN,NaN
2019,9,4,18.7,12.2,26.2,0
2019,9,5,19.3,NaN,NaN,NaN
2019,9,6,20.2,NaN,NaN,NaN
2019,9,7,19.4,NaN,NaN,NaN
2019,9,8,18.8,NaN,NaN,NaN
2019,9,9,17.5,NaN,NaN,NaN
2019,9,10,18.4,NaN,NaN,NaN
2019,9,11,18.2,NaN,NaN,NaN
2019,9,12,17.7,12.4,25.2,0
2019,9,13,17.8,NaN,NaN,NaN
2019,9,14,18.6,NaN,NaN,NaN
2019,9,15,19,NaN,NaN,NaN
2019,9,16,19.4,NaN,NaN,NaN
2019,9,17,19,NaN,NaN,NaN
2019,9,18,17.6,NaN,NaN,NaN
2019,9,19,18.9,NaN,NaN,NaN
2019,9,20,19.3,NaN,NaN,NaN
2019,9,21,19.7,NaN,NaN,NaN
2019,9,22,20.3,NaN,NaN,NaN
2019,9,23,20.6,11.2,26.8,0
2019,9,24,19.7,12.4,26.8,0
2019,9,25,18.8,NaN,NaN,NaN
2019,9,26,20.7,NaN,NaN,NaN
2019,9,27,19.9,12.6,27.4,0
2019,9,28,18.4,NaN,NaN,NaN
2019,9,29,15.4,NaN,NaN,NaN
2019,9,30,14.7,NaN,NaN,NaN
2019,10,1,17.9,NaN,NaN,NaN
2019,10,2,17.9,NaN,NaN,NaN
2019,10,3,17.2,NaN,NaN,NaN
2019,10,4,17.6,NaN,NaN,NaN
2019,10,5,18.8,NaN,NaN,NaN
2019,10,6,18.4,NaN,NaN,NaN
2019,10,7,18.3,NaN,NaN,NaN
2019,10,8,17.9,11,24.6,0
2019,10,9,18.1,NaN,NaN,NaN
2019,10,10,19.2,10.4,25.2,NaN
2019,10,11,19.4,NaN,NaN,NaN
2019,10,12,18.6,NaN,NaN,NaN
2019,10,13,18.7,NaN,NaN,NaN
2019,10,14,19.5,NaN,NaN,NaN
2019,10,15,19.4,NaN,NaN,NaN
2019,10,16,18.3,NaN,NaN,NaN
2019,10,17,15.4,NaN,NaN,NaN
2019,10,18,16.3,NaN,NaN,NaN
2019,10,19,18.1,NaN,NaN,NaN
2019,10,20,19.3,NaN,NaN,NaN
2019,10,21,18.8,NaN,NaN,NaN
2019,10,22,18.2,12.8,24.8,NaN
2019,10,23,18.3,9.6,24,NaN
2019,10,24,16.3,NaN,NaN,NaN
2019,10,25,16.7,9.4,23.4,8.1
2019,10,26,16.4,NaN,NaN,NaN
2019,10,27,17.6,NaN,NaN,NaN
2019,10,28,17.4,NaN,NaN,NaN
2019,10,29,17.2,NaN,NaN,NaN
2019,10,30,18.7,NaN,NaN,NaN
2019,10,31,15.9,NaN,NaN,NaN
2019,11,1,15.9,NaN,NaN,NaN
2019,11,2,16.2,10,23.6,0
2019,11,3,16.8,NaN,NaN,NaN
2019,11,4,16.5,NaN,NaN,NaN
2019,11,5,16.1,NaN,NaN,NaN
2019,11,6,17.8,NaN,NaN,NaN
2019,11,7,17.9,9,25.6,NaN
2019,11,8,17.9,NaN,NaN,NaN
2019,11,9,18.5,NaN,NaN,NaN
2019,11,10,19.2,NaN,NaN,NaN
2019,11,11,18.6,NaN,NaN,NaN
2019,11,12,17.2,NaN,NaN,NaN
2019,11,13,15.7,NaN,NaN,NaN
2019,11,14,16.2,NaN,NaN,NaN
2019,11,15,16.8,NaN,NaN,NaN
2019,11,16,16.5,9.6,22.6,0
2019,11,17,16.9,NaN,NaN,NaN
2019,11,18,16.7,NaN,NaN,NaN
2019,11,19,17.6,NaN,NaN,NaN
2019,11,20,17,11,25,NaN
2019,11,21,18.1,NaN,NaN,NaN
2019,11,22,17,NaN,NaN,NaN
2019,11,23,18,NaN,NaN,NaN
2019,11,24,17.3,NaN,NaN,NaN
2019,11,25,17.8,NaN,NaN,NaN
2019,11,26,18,NaN,NaN,NaN
2019,11,27,19.4,NaN,NaN,NaN
2019,11,28,18.3,NaN,NaN,NaN
2019,11,29,18.9,7,25.4,0
2019,11,30,18.3,NaN,NaN,NaN
2019,12,1,19.1,NaN,NaN,NaN
2019,12,2,16.9,NaN,NaN,NaN
2019,12,3,15.4,NaN,NaN,NaN
2019,12,4,17.2,NaN,NaN,NaN
2019,12,5,17.1,NaN,NaN,NaN
2019,12,6,16.9,NaN,NaN,NaN
2019,12,7,15.7,NaN,NaN,NaN
2019,12,8,15,NaN,NaN,NaN
2019,12,9,15.7,NaN,NaN,NaN
2019,12,10,16.2,NaN,NaN,NaN
2019,12,11,15.2,NaN,NaN,NaN
2019,12,12,15,NaN,NaN,NaN
2019,12,13,16.4,NaN,NaN,NaN
2019,12,14,15.9,NaN,NaN,NaN
2019,12,15,15.9,NaN,NaN,NaN
2019,12,16,14.9,NaN,NaN,NaN
2019,12,17,15.9,NaN,NaN,NaN
2019,12,18,12.8,NaN,NaN,NaN
2019,12,19,10.5,NaN,NaN,NaN
2019,12,20,11.2,NaN,NaN,NaN
2019,12,21,14.7,4.4,21.6,0
2019,12,22,14.2,NaN,NaN,NaN
2019,12,23,16.2,NaN,NaN,NaN
2019,12,24,15.9,NaN,NaN,NaN
2019,12,25,16.3,NaN,NaN,NaN
2019,12,26,15.9,5,24.2,NaN
2019,12,27,15.8,4.8,24.4,0
2019,12,28,15.7,NaN,NaN,NaN
2019,12,29,14.5,NaN,NaN,NaN
2019,12,30,16.3,NaN,NaN,NaN
2019,12,31,16.6,NaN,NaN,NaN
2020,1,1,14.8,NaN,NaN,NaN