# date,tavg,tmin,tmax,prcp,snow
2020,1,1,17.9,13,24
2020,1,2,16.8,14,20
2020,1,3,NaN,NaN,NaN
2020,1,4,NaN,NaN,NaN
2020,1,5,NaN,NaN,NaN
2020,1,6,14.5,4,24
2020,1,7,13,6,19
2020,1,8,12.9,4,21
2020,1,9,15,7,24
2020,1,10,15.8,6,24
2020,1,11,16.2,9,23
2020,1,12,15.5,6,24
2020,1,13,NaN,NaN,NaN
2020,1,14,16.6,8,24
2020,1,15,16.6,10,24
2020,1,16,16.1,11,22
2020,1,17,15.7,9,22
2020,1,18,15.8,9,22
2020,1,19,13.6,12,17
2020,1,20,12.2,10,14
2020,1,21,11.6,4,18
2020,1,22,14.7,6,22
2020,1,23,14.7,10,19
2020,1,24,15.4,11,21
2020,1,25,14.8,7,21
2020,1,26,16.2,9,22
2020,1,27,17.4,11,23
2020,1,28,16.6,9,23
2020,1,29,15.8,7,23
2020,1,30,17,12,23
2020,1,31,16.7,12,23
2020,2,1,15.9,10,22
2020,2,2,15.3,9,21
2020,2,3,16.8,13,21
2020,2,4,18.1,13,23
2020,2,5,16.6,15,22
2020,2,6,18.6,13,25
2020,2,7,17.7,8,26
2020,2,8,17.7,9,26
2020,2,9,18.9,11,26
2020,2,10,19.4,11,28
2020,2,11,19.6,11,27
2020,2,12,18.6,12,25
2020,2,13,17.3,11,23
2020,2,14,16,9,24
2020,2,15,17.4,9,24
2020,2,16,19.1,10,28
2020,2,17,19.4,10,28
2020,2,18,20.1,11,29
2020,2,19,19.5,10,28
2020,2,20,17.2,9,26
2020,2,21,17.1,12,25
2020,2,22,16.7,8,25
2020,2,23,19.7,12,28
2020,2,24,21,13,29
2020,2,25,20.3,14,26
2020,2,26,16.6,10,24
2020,2,27,13.8,4,23
2020,2,28,18.1,11,26
2020,2,29,17.9,8,27
2020,3,1,20.1,12,27
2020,3,2,21.4,15,26
2020,3,3,20.6,14,26
2020,3,4,20.2,13,27
2020,3,5,19.1,12,27
2020,3,6,13.2,9,20
2020,3,7,15.7,7,24
2020,3,8,17,8,25
2020,3,9,18.2,9,27
2020,3,10,18.9,10,27
2020,3,11,18.3,10,26
2020,3,12,21.4,12,28
2020,3,13,22.4,15,29
2020,3,14,21.8,14,29
2020,3,15,19.5,12,27
2020,3,16,18,12,24
2020,3,17,17.9,9,25
2020,3,18,19.3,12,26
2020,3,19,20.6,13,28
2020,3,20,20.7,14,27
2020,3,21,19.3,14,26
2020,3,22,20,12,28
2020,3,23,20.9,11,29
2020,3,24,21.7,12,30
2020,3,25,22.3,13,31
2020,3,26,22.4,12,31
2020,3,27,23.2,13,31
2020,3,28,22,12,31
2020,3,29,21.2,13,29
2020,3,30,21.9,13,29
2020,3,31,21.3,13,30
2020,4,1,20.3,12,27
2020,4,2,20.2,15,27
2020,4,3,18.3,12,27
2020,4,4,20.1,12,28
2020,4,5,21.7,15,29
2020,4,6,21.4,15,27
2020,4,7,22.4,16,26
2020,4,8,21.9,16,28
2020,4,9,21.8,17,28
2020,4,10,22.3,15,29
2020,4,11,22.9,15,29
2020,4,12,22.7,16,29
2020,4,13,22.3,14,30
2020,4,14,21.9,14,30
2020,4,15,22,15,28
2020,4,16,22.8,17,28
2020,4,17,22.1,15,29
2020,4,18,22.1,16,29
2020,4,19,22.4,15,28
2020,4,20,22.6,15,29
2020,4,21,20.2,12,29
2020,4,22,22.5,15,29
2020,4,23,22.6,17,29
2020,4,24,21.3,16,28
2020,4,25,19.5,16,27
2020,4,26,20.5,17,26
2020,4,27,20.4,13,26
2020,4,28,20,14,27
2020,4,29,19.6,13,27
2020,4,30,17.2,14,25
2020,5,1,NaN,NaN,NaN
2020,5,2,NaN,NaN,NaN
2020,5,3,NaN,NaN,NaN
2020,5,4,21.3,12,29
2020,5,5,19.4,14,28
2020,5,6,17.4,12,26
2020,5,7,17.4,12,22
2020,5,8,18.5,12,25
2020,5,9,17.8,14,23
2020,5,10,17.8,12,25
2020,5,11,18.2,13,25
2020,5,12,NaN,NaN,NaN
2020,5,13,21.9,16,27
2020,5,14,21.9,16,27
2020,5,15,NaN,NaN,NaN
2020,5,16,22.3,16,28
2020,5,17,21.9,16,28
2020,5,18,20.3,15,27
2020,5,19,21.2,13,29
2020,5,20,21.8,14,28
2020,5,21,22,18,28
2020,5,22,22,16,29
2020,5,23,21.6,13,28
2020,5,24,22.5,16,29
2020,5,25,23.5,16,30
2020,5,26,23.3,16,30
2020,5,27,21.7,16,27
2020,5,28,19.9,15,27
2020,5,29,17.5,12,23
2020,5,30,17,12,23
2020,5,31,17.7,12,25
2020,6,1,18.8,12,25
2020,6,2,19.9,14,26
2020,6,3,NaN,NaN,NaN
2020,6,4,20.1,13,27
2020,6,5,20.7,16,27
2020,6,6,20.9,14,27
2020,6,7,21.3,15,28
2020,6,8,20.4,14,28
2020,6,9,20.9,14,29
2020,6,10,21.2,16,28
2020,6,11,19.3,17,24
2020,6,12,NaN,NaN,NaN
2020,6,13,NaN,NaN,NaN
2020,6,14,18.5,10,26
2020,6,15,19,12,26
2020,6,16,19.8,11,28
2020,6,17,NaN,NaN,NaN
2020,6,18,21,13,27
2020,6,19,21,14,28
2020,6,20,20.1,14,27
2020,6,21,20.3,15,26
2020,6,22,17.4,13,24
2020,6,23,18,13,24
2020,6,24,16.9,13,22
2020,6,25,17.7,14,24
2020,6,26,19.6,15,25
2020,6,27,20.3,14,26
2020,6,28,20.8,14,26
2020,6,29,20,15,27
2020,6,30,19.7,15,26
2020,7,1,20.5,15,26
2020,7,2,20.8,16,27
2020,7,3,19.3,14,26
2020,7,4,19,15,24
2020,7,5,18.1,14,25
2020,7,6,18.8,16,24
2020,7,7,18.9,14,24
2020,7,8,17.3,13,23
2020,7,9,17.6,14,24
2020,7,10,19.5,12,26
2020,7,11,19,15,24
2020,7,12,19,15,26
2020,7,13,19.7,14,26
2020,7,14,19.2,16,27
2020,7,15,20.1,15,25
2020,7,16,20.5,14,27
2020,7,17,19.1,13,25
2020,7,18,18.8,13,25
2020,7,19,19.2,13,25
2020,7,20,19.1,13,26
2020,7,21,20.4,15,26
2020,7,22,20.1,15,26
2020,7,23,19.9,14,26
2020,7,24,19.9,15,26
2020,7,25,19.6,15,25
2020,7,26,18.9,16,24
2020,7,27,19.8,16,24
2020,7,28,19.8,16,25
2020,7,29,18.1,14,24
2020,7,30,18.6,14,24
2020,7,31,17.9,13,23
2020,8,1,18.2,14,23
2020,8,2,18.4,15,24
2020,8,3,18.3,14,23
2020,8,4,18.6,15,24
2020,8,5,20.3,16,26
2020,8,6,19.7,15,26
2020,8,7,19.7,15,25
2020,8,8,17.9,15,23
2020,8,9,17.4,14,23
2020,8,10,18.4,15,24
2020,8,11,NaN,NaN,NaN
2020,8,12,NaN,NaN,NaN
2020,8,13,NaN,NaN,NaN
2020,8,14,NaN,NaN,NaN
2020,8,15,NaN,NaN,NaN
2020,8,16,NaN,NaN,NaN
2020,8,17,NaN,NaN,NaN
2020,8,18,NaN,NaN,NaN